氏名,会派,確認できた政治団体,届出区分,本年収入,PDF読了,状態
新井優也,市民クラブ,（なし）,,,未,空知支所名簿に個人後援会を確認できず（未確認）
伊澤幸信,市民クラブ,伊沢幸信後援会,資金管理団体,120000,済,本人後援会読了
猪口満雅,公明党,公明党空知総支部 / いのぐち満雅後援会,政党支部 / その他,4179848 / 0,済,支部・後援会とも読了
石黒武美,新緑風会,石黒武美後援会,資金管理団体,130000,済,本人後援会読了（本年収入の費目内訳は後続ページ要確認）
上田久司,日本共産党議員団,日本共産党南空知地区委員会,その他,27160707,済,党地区委は読了。個人後援会は名簿に確認できず
太田博之,新緑風会,太田博之後援会,資金管理団体,288000,済,本人後援会読了（本年収入の費目内訳は後続ページ要確認）
枝廣晴基,市民クラブ,えだひろ晴基後援会,その他,0,済,本人後援会読了
河合清秀,新緑風会,新しいいわみざわを考える会 / かわい清秀後援会,その他 / 資金管理団体,0 / 0,済,両団体読了
木村光宏,市民クラブ,木村みつひろ後援会,資金管理団体,0,済,本人後援会読了（空報告）
斉須正友,民優会,斉須正友後援会,その他,0,済,本人後援会読了（空報告）
坂井照美,公明党,坂井照美後援会,その他,540978,済,本人後援会読了
坂井秋子,市民クラブ,坂井あきこ後援会,その他,0,済,本人後援会読了（空報告）
武田貞行,市民クラブ,武田貞行後援会,資金管理団体,0,済,本人後援会読了（空報告）
日向清一,民優会,（なし）,,,未,空知支所名簿に個人後援会を確認できず（未確認）
野尻清,市民クラブ,野尻清後援会,資金管理団体,0,済,本人後援会読了（繰越のみ）
豊岡義博,市民クラブ,豊岡よしひろ後援会 / 空知地方議員連絡協議会,資金管理団体 / その他,0 / 1394028,済,個人後援会は空報告。連絡協議会は代表者・読了済み
平野義文,市民クラブ,平野よしふみ後援会,資金管理団体,0,済,本人後援会読了（繰越のみ）
峯泰教,市民クラブ,笑顔溢れる岩見沢を創る会,資金管理団体,85000,済,本人団体読了（議長）
松本一郎,新緑風会,松本一郎後援会,その他,0,済,後援会読了。会の代表者は議員本人ではない（代表者名は内部データのみ・公開版は非表示）
大和勝,民優会,（なし）,,,未,register上は後援会候補だが名簿に確認できず（未確認）
宮下透,市民クラブ,自由民主党岩見沢支部 / 宮下とおる後援会,政党支部 / 資金管理団体,2147325 / 0,済,支部代表は新川勝久(別人)。1007本年収入の内訳=党費217200+第十選挙区支部交付金1930000+その他125、法人寄附ゼロ。個人後援会は空報告
山田靖廣,日本共産党議員団,日本共産党南空知地区委員会,その他,27160707,済,党地区委は読了。個人後援会は名簿に確認できず
