row,寄附企業,金額,年月日,業種分類
1,(株)菱和,120000,R6/1/17,その他要確認
2,共進工業(株),120000,R6/1/18,工業(建設系の可能性)
3,千葉電気工事(株),120000,R6/1/19,設備工事
4,北海管工(株),120000,R6/1/19,設備工事
5,(株)空知総合企画,240000,R6/1/19,企画(要確認)
6,山本建業(株),120000,R6/1/19,建設・土木
7,堀松建設工業(株),120000,R6/1/19,建設・土木
8,(株)三雄建販,120000,R6/1/19,建材・建設関連
9,小谷産業(株),120000,R6/1/19,産業(要確認)
10,空知環境総合(株),120000,R6/1/22,環境
11,(株)高橋工務店,120000,R6/1/22,建設・土木
12,玉田産業(株),120000,R6/1/22,産業(要確認)
13,栄建設(株),120000,R6/1/22,建設・土木
14,開発工建(株),240000,R6/1/22,建設・土木
15,高橋建設(株),120000,R6/1/23,建設・土木
16,こぶし建設(株),240000,R6/1/24,建設・土木
17,公南三明建設(株),120000,R6/1/25,建設・土木
18,(株)タカサキ電設,240000,R6/1/25,設備工事
19,木村直樹税務会計事務所,60000,R6/1/25,士業
20,及川産業(株),120000,R6/1/26,産業(要確認)
21,中央実業(株),120000,R6/1/31,その他要確認
22,(株)創電,120000,R6/1/31,設備工事
23,(株)第一基礎,120000,R6/1/31,建設・土木
24,勝井建設工業(株),120000,R6/1/31,建設・土木
25,(株)北辰,120000,R6/2/1,その他要確認
26,福仲建設(株),120000,R6/2/1,建設・土木
27,(有)泰晴塗装,120000,R6/2/13,建設・土木
28,北央道路工業(株),240000,R6/2/26,建設・土木
29,道央興産(株),240000,R6/2/29,開発・不動産系(要確認)
30,(株)カツイ,240000,R6/3/29,その他要確認
31,馬淵建設(株),240000,R6/4/10,建設・土木
32,(株)北創,120000,R6/4/16,その他要確認
33,興和建設(株),120000,R6/6/10,建設・土木
34,高谷土建(株),120000,R6/6/14,建設・土木
35,(株)北立,240000,R6/6/20,その他要確認
36,折笠建設(株),120000,R6/6/25,建設・土木
37,相互開発(株),360000,R6/7/8,開発・不動産系(要確認)
38,倉増金物(株),120000,R6/7/16,建材・建設関連
39,(株)イーエス・テクノ工業,200000,R6/9/4,工業(建設系の可能性)
40,(株)コミュニティーワークス,100000,R6/9/9,その他要確認
41,(株)竹田建設工業,100000,R6/9/9,建設・土木
42,Iサポート管理,100000,R6/9/9,管理
43,宮工建(株),120000,R6/12/3,建設・土木
44,(株)インベストほけん,120000,R6/12/13,保険
