区分,出し手(From),受け手(To),金額,年月日,名目,出典,確実度
業界→市長,岩見沢建設政治連盟,前進会(松野哲 資金管理団体),500000,R6.7.2,寄附,4021収支報告 支出明細,◎双方一致
業界→自民/知事,空知建設政治連盟,長谷川岳連合後援会(参院),100000,R6.3.18,セミナー会券購入,4107収支報告,◎
業界→自民,空知建設政治連盟,自由民主党北海道参議院選挙区第二支部,200000,R6.6.3,セミナー会券購入,4107収支報告,◎
業界→自民,空知建設政治連盟,自由民主党北海道第十選挙区支部,150000,R6.6.18,セミナー会券購入(政経セミナー),4107収支報告,◎双方一致
業界→知事,空知建設政治連盟,鈴木直道政経セミナー(知事),190000,R6.6.24,セミナー会券購入,4107収支報告,◎
業界→自民/参院,空知建設政治連盟,船橋利実連合後援会(参院),250000,R6.6.25,セミナー会券購入,4107収支報告,◎
業界→自民,空知建設政治連盟,自民党北海道政経セミナー,180000,R6.9.26,セミナー会券購入,4107収支報告,◎
業界→自民,空知建設政治連盟,自由民主党北海道参議院選挙区第五支部,200000,R6.10.7,セミナー会券購入,4107収支報告,○
業界→市長,岩見沢市医師連盟,前進会(松野哲 資金管理団体),200000,R6.8.2,寄附,前進会収支報告 受領側,◎
資金管理→本人後援会,前進会(松野哲 資金管理団体),松野さとる後援会,4000000,R6.8.5,寄附・交付金,3031前進会 支出明細,◎
資金管理→本人後援会,前進会(松野哲 資金管理団体),松野さとる後援会,1000000,R6.9.3,寄附・交付金,3031前進会 支出明細,◎
党支部→市議選,自由民主党岩見沢支部(代表 新川勝久),伊澤幸信(選挙),100000,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,自由民主党岩見沢支部(代表 新川勝久),平野義文(選挙),100000,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,公明党空知総支部,猪口満雅(選挙),820136,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,公明党空知総支部,斉須正友(選挙),169715,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,日本共産党南空知地区委員会,上田久司(選挙),885975,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,日本共産党南空知地区委員会,山田靖廣(選挙),577973,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,立憲民主党(北海道支部+岩見沢支部),坂井照美(選挙),900000,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,立憲民主党(北海道総支部連合会+第10区),日向清一(選挙),250000,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
党支部→市議選,国民民主党北海道,金野貴泰(選挙・落選),300000,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
企業→市議選,株式会社丸富工業,金野貴泰(選挙・落選),105000,R5選挙,選挙運動費用 主たる寄附,市議選要旨,◎
企業44社→道議支部,建設・設備44社(JV構成6社含む),自由民主党北海道岩見沢市第一支部(代表 道議村木中),6560000,R6年内,法人その他団体寄附,1024収支報告,◎検算OK
